comment,clean_comment
"ngapain menanggapin hal seperti itu,padahal ada ya lebih penting,masyarakat yg terdampak banjir dan tanah longsor mereka yg harus bapak wapres sambangin,bukan acara seperti itu,bapak itu wapres bukan artis biarkan aja masyarakat bicara apa,yg penting bapak wapres tetap peduli sama masyarakat,indonesia lagi dilanda bencana,di sumatera aja belum selesai belum daerah lain banyak yg terdampak banjir itu yg seharusnya menjadi prioritas.",ngapain menanggapin hal seperti itupadahal ada ya lebih pentingmasyarakat yg terdampak banjir dan tanah longsor mereka yg harus bapak wapres sambanginbukan acara seperti itubapak itu wapres bukan artis biarkan aja masyarakat bicara apayg penting bapak wapres tetap peduli sama masyarakatindonesia lagi dilanda bencanadi sumatera aja belum selesai belum daerah lain banyak yg terdampak banjir itu yg seharusnya menjadi prioritas
sattttt😭,sattttt
recal recal depan orangnya jir,recal recal depan orangnya jir
4:34 bangsat lu coki😅😅😅😅,bangsat lu coki
"Berapa hari di papua ?
Kemaren kita ke Biak, ke Wamena terus pulang. Sebentar sih sebentar.",berapa hari di papua kemaren kita ke biak ke wamena terus pulang sebentar sih sebentar
Ujung ujung nya jualan Bebek Carok😂,ujung ujung nya jualan bebek carok
Salfok dibelakang kamera berjejer paspampres berdiri pake baju bebas  13:14,salfok dibelakang kamera berjejer paspampres berdiri pake baju bebas
Bener2 talkshow laknat ini woi!!...😂😂😂,bener talkshow laknat ini woi
17:00 jatohnya gratifikasi jadinya 🤣,jatohnya gratifikasi jadinya
Fufufafa itu siapa sih?,fufufafa itu siapa sih
Ngakak ajirt 😅😅😅😂😂,ngakak ajirt
yg diroasting santai yg gak santai fansnya 😂,yg diroasting santai yg gak santai fansnya
wkwkwkwkkkk,wkwkwkwkkkk
"Padahal ""sleeping eyes"" atau mata sayu itu memang ada yg bawaan genetik, pernah liat ada bocil yg matanya kyak orang ngantuk atau mabook , dan itu normal kok",padahal sleeping eyes atau mata sayu itu memang ada yg bawaan genetik pernah liat ada bocil yg matanya kyak orang ngantuk atau mabook dan itu normal kok
Gak kuat 😭😭,gak kuat
ngantukan nih orang,ngantukan nih orang
Aura dari mantan pemimpin Olos nya sangat kuat.,aura dari mantan pemimpin olos nya sangat kuat
"Jawabannya sii g pa2, ga pa2... tp dibelakang g tau 🤭🤔",jawabannya sii g pa ga pa tp dibelakang g tau
Wapres Gibran be like : lumayan transfer pahala dari Pandji 😅,wapres gibran be like lumayan transfer pahala dari pandji
njirrr di bawa lngsung org nya😂😂 org berdua yg ngomong gw yg takut😂😂😂,njirrr di bawa lngsung org nya org berdua yg ngomong gw yg takut
“Ini rumah makan? gak dikasih makan”😂😂😂,ini rumah makan gak dikasih makan
"Nganggur bet, sangking kaga ada kerjaan, klo coki mah ktauan Buzzerp dr dlu",nganggur bet sangking kaga ada kerjaan klo coki mah ktauan buzzerp dr dlu
"Piyantu Jawi punya pepatah Jawa "" Ana Catur Mungkur"" ya begitulah selownya. 11 12 dg bapaknya.",piyantu jawi punya pepatah jawa ana catur mungkur ya begitulah selownya dg bapaknya
Slow,slow
"Mumpung bahas MBG
Mewakili SDN Banyu Urip 3 Sby belum ada sampai sekarang.program MBG nya",mumpung bahas mbg mewakili sdn banyu urip sby belum ada sampai sekarangprogram mbg nya
NYAWIT NIH ORANG,nyawit nih orang
Saya Salah 1 Kuli Pekerja Di pembangunan IKN .  IKN tidak Seperti Proyek Candi Hambalang ! 🖕,saya salah kuli pekerja di pembangunan ikn ikn tidak seperti proyek candi hambalang
Nah gini langsung depan orgnya jangan depan pak anies nambah seneng dong pak anies 😂😂,nah gini langsung depan orgnya jangan depan pak anies nambah seneng dong pak anies
tretan coki the real enabler rezim inkompeten. kritik substantif jadinya hanya sampai sebagai joke no evaluasi,tretan coki the real enabler rezim inkompeten kritik substantif jadinya hanya sampai sebagai joke no evaluasi
Keluarkan kodamnya Fufu Fafa harusnya😡😡😡,keluarkan kodamnya fufu fafa harusnya
"Biasa aja kelen, pembungkaman itu cuman sama orang2 tertentu yang baper anti kritik. Tokoh2 besar kayak gini sama pemerintah secara umum biasa saja",biasa aja kelen pembungkaman itu cuman sama orang tertentu yang baper anti kritik tokoh besar kayak gini sama pemerintah secara umum biasa saja
Ahh pemuda solo itu lagi ...,ahh pemuda solo itu lagi
keren🤝👏👏,keren
Pas pampres auto ngumpul di dapur buat cek menu😅,pas pampres auto ngumpul di dapur buat cek menu
"13:20 bagas dalam hati anjir kalian bercanda
Aku gunda gulana
🤣🤣🤣🤣",bagas dalam hati anjir kalian bercanda aku gunda gulana
Respect respect 🎉🎉,respect respect
Jujur mas Gibran lebih aktif dripada pak maruf amin jir😂,jujur mas gibran lebih aktif dripada pak maruf amin jir
"Ahhh berdua ganggu, kan pengen denger jawabnnya yg ditengah..suka ngasih ide jawaban nih yg dipinggir😂 takut masuk jurang",ahhh berdua ganggu kan pengen denger jawabnnya yg ditengahsuka ngasih ide jawaban nih yg dipinggir takut masuk jurang
Akhirnya buzzer Gibran makan bareng,akhirnya buzzer gibran makan bareng
Cantik cantik mbanya,cantik cantik mbanya
Muslim yag diundang kog orang aneh² terus,muslim yag diundang kog orang aneh terus
Cair-cair,caircair
Jirrrr kirain video AI,jirrrr kirain video ai
Semoga sehat selalu mas Wapres selalu dalam lindungan Allah,semoga sehat selalu mas wapres selalu dalam lindungan allah
bahahahaha,bahahahaha
yg gua suka dari tretan sama coky sllu keren🔥🔥,yg gua suka dari tretan sama coky sllu keren
"""Profesional Sinner"" 🤘",profesional sinner
Cara bicara nya mirip bapaknya dah,cara bicara nya mirip bapaknya dah
Gibran klo ga wapres kata gw mah udh ngakak sih secara jokes nya dia dark juga 😂,gibran klo ga wapres kata gw mah udh ngakak sih secara jokes nya dia dark juga
Mas wapres  🔥 🔥,mas wapres
ngantuk aja jadi wapres 😂😂😂,ngantuk aja jadi wapres
Perasaan wapres 2019 gak kek gini,perasaan wapres gak kek gini
Tayangan ga ramah buzzer 😂,tayangan ga ramah buzzer
Anj emang bang coki panggil wapres Ela Elu wkwkwk ngakak parah,anj emang bang coki panggil wapres ela elu wkwkwk ngakak parah
👑,
Padahal nunggu pertanyaan 19 juta lapangan pekerjaan ngg ada 😂😂dikit berharap bakalan ada,padahal nunggu pertanyaan juta lapangan pekerjaan ngg ada dikit berharap bakalan ada
"Prabowo ke inggris ketemu PM Keir Starmer dan Raja Charles III, dibelahan dunia lain mas mas ini bertemu dengan cokmus zzzzzz",prabowo ke inggris ketemu pm keir starmer dan raja charles iii dibelahan dunia lain mas mas ini bertemu dengan cokmus zzzzzz
Wah. tinggal ke skakmat,wah tinggal ke skakmat
BERANI BANGET,berani banget
Kapan lagi lihat Gibran kena OTT KPK karna gratifikasi Bebek carok seumur hidup 😂😂😂,kapan lagi lihat gibran kena ott kpk karna gratifikasi bebek carok seumur hidup
ngobrol sama atmin,ngobrol sama atmin
TOLAK MBG!,tolak mbg
Rekrut mas gibran suruh masak aja🔥,rekrut mas gibran suruh masak aja
"Yg gua tunggu joks 19 jt lapangan pekerjaan,ny mana bang coki, muslim?. 🤭",yg gua tunggu joks jt lapangan pekerjaanny mana bang coki muslim
CHAKSSSS,chakssss
🥱🥱🥱,
saya kok ngerasa tabu dan ngeri-ngeri sedap,saya kok ngerasa tabu dan ngeringeri sedap
Kiper * skuy tutor jadi komisaris sedot WC akwkwowkwko,kiper skuy tutor jadi komisaris sedot wc akwkwowkwko
07.50 punchline nya pa Wapres lucu banget lagi sialan😂😂.. Waiters nya ketar-ketir😅😅,punchline nya pa wapres lucu banget lagi sialan waiters nya ketarketir
Paling lucu dari pertanyaan ini adalah roy sama paanji lebi  lucunya siapa?,paling lucu dari pertanyaan ini adalah roy sama paanji lebi lucunya siapa
Puncak ketololan yg hakiki.. punya wapres yg podcast hahahihi sana sini bersama buzzer2nya. Padahal negara sedang kacau bencana di mana2.. orang2 menganggur menunggu 19juta lapangan kerja..blooookkkk,puncak ketololan yg hakiki punya wapres yg podcast hahahihi sana sini bersama buzzernya padahal negara sedang kacau bencana di mana orang menganggur menunggu juta lapangan kerjablooookkkk
"Diundang Tretan bisa dateng, diundang Pandji di youtube Skakmat ga pernah dateng tuh",diundang tretan bisa dateng diundang pandji di youtube skakmat ga pernah dateng tuh
"Gw sebelum nonton tegang :3
Habis nonton ah dhlh",gw sebelum nonton tegang habis nonton ah dhlh
anjg final boss lapangan kerja,anjg final boss lapangan kerja
gibran tuh vibesnya positif anjay,gibran tuh vibesnya positif anjay
AFK,afk
kalau bukan jokowi biadab jadi apa ini sih Samsul yaa,kalau bukan jokowi biadab jadi apa ini sih samsul yaa
Kedua komika ini memang paling suka bergelantungan diatas jurang 😂😂😂,kedua komika ini memang paling suka bergelantungan diatas jurang
12:58 WKWWKWKWKK,wkwwkwkwkk
Kontrak brapa tahun ni paman coki,kontrak brapa tahun ni paman coki
roy suryo 🤣🤣🤣,roy suryo
"Kedua komika yg dengan vendor yg berbada 😂😂😂😂,",kedua komika yg dengan vendor yg berbada
next konten aduan masyarakat bersama gibran😂,next konten aduan masyarakat bersama gibran
"sebagai masyarakat umum aku malu punya wapres kaya gini cok. ini apaan wapres tampil di konten YouTube mencoreng wajah bangsa Indonesia. saat rusuh agustus anda kemana gak pernah tu tampil menenangkan masyarakat saat presiden mencoba tampil gak ada tu batang hidung anda,  jadi anda mau tampil hanya untuk masalah hidup anda doang kalo masalah publik anda sembunyi gitu wkwkwk",sebagai masyarakat umum aku malu punya wapres kaya gini cok ini apaan wapres tampil di konten youtube mencoreng wajah bangsa indonesia saat rusuh agustus anda kemana gak pernah tu tampil menenangkan masyarakat saat presiden mencoba tampil gak ada tu batang hidung anda jadi anda mau tampil hanya untuk masalah hidup anda doang kalo masalah publik anda sembunyi gitu wkwkwk
Pandji kalau nonton ini gimana perasaanya 😂,pandji kalau nonton ini gimana perasaanya
CUMA NEGARA INI DOANG WAPRES DI BECANDAIN KAYA ANAK KECIL😂,cuma negara ini doang wapres di becandain kaya anak kecil
2 orang gila' sedang memasak 😅,orang gila sedang memasak
"ampuuunnnnn... 
Sayangnya tidak cukup banyak netizen +62 yaang memahami ini sebagai cara Roasting yang Highclass.... 
Keren abang bertiga🤝😇",ampuuunnnnn sayangnya tidak cukup banyak netizen yaang memahami ini sebagai cara roasting yang highclass keren abang bertiga
Sudah dipastikan seluruh aliansi buzzer berkumpul untuk memantau channel ini 😂,sudah dipastikan seluruh aliansi buzzer berkumpul untuk memantau channel ini
Bro sabar banget😂,bro sabar banget
Kurang lama sih ini,kurang lama sih ini
"Sebenarnya pemerintah yg busuk itu di tempat tempat yg ga terlihat oleh publik.. Presiden dan wakilnya saya berani jamin mereka pasti akan bekerja dengan baik karena mereka sosok paling terlihat.. 

Tapi pejabat daerah yg kurang terkenal memang biasanya lebih memungkinkan melakukan kesalahan.. 



Pokoknya yg sifatnya terkenal mereka bisa di bilang pejabat yg selalu memperbaiki diri karena terpampang.. Kaya KDM, Kepala desa yg terkenal itu... 

Mungkin baiknya para pejabat Indonesia harus aktif di sosial media agar gerak gerik terlibat, dan hasilnya terlihat",sebenarnya pemerintah yg busuk itu di tempat tempat yg ga terlihat oleh publik presiden dan wakilnya saya berani jamin mereka pasti akan bekerja dengan baik karena mereka sosok paling terlihat tapi pejabat daerah yg kurang terkenal memang biasanya lebih memungkinkan melakukan kesalahan pokoknya yg sifatnya terkenal mereka bisa di bilang pejabat yg selalu memperbaiki diri karena terpampang kaya kdm kepala desa yg terkenal itu mungkin baiknya para pejabat indonesia harus aktif di sosial media agar gerak gerik terlibat dan hasilnya terlihat
Coba dong yg naanya nanya Mutan nya tretaan 😂😂,coba dong yg naanya nanya mutan nya tretaan
Ini sudah di pinggir lahar lagi kalau ngejoks,ini sudah di pinggir lahar lagi kalau ngejoks
Mli kpan ke ikn,mli kpan ke ikn
"Dari tiktok ke sini, Bravo",dari tiktok ke sini bravo
"Rispek, orang tolol saling ngasih panggung.",rispek orang tolol saling ngasih panggung
Said Iqbal demo ke ikn 😂,said iqbal demo ke ikn
mana tuh lowongan kerja 19 juta pinter  berjanji tapi ga terbukti....😅😅,mana tuh lowongan kerja juta pinter berjanji tapi ga terbukti
Final boss 😂,final boss
Langsung di depan PRINCES,langsung di depan princes
enak saya kemarin makan kesana,enak saya kemarin makan kesana
Coki nahan ketawa sampe meninggal,coki nahan ketawa sampe meninggal
Kok ga bahas 19 juta lapangan padel pak tretan?,kok ga bahas juta lapangan padel pak tretan
Mas Gibran contoh pemimpin yg bijak gak baper gak lebay biar masih muda dewasa  cara berpikirnya,mas gibran contoh pemimpin yg bijak gak baper gak lebay biar masih muda dewasa cara berpikirnya
"risetnya kurang berati, gibran pernah marah pas ibunya diejek komikus di twitter 👍",risetnya kurang berati gibran pernah marah pas ibunya diejek komikus di twitter
apa arti dari comedy??,apa arti dari comedy
"Dari lahir memang begitu mata saya  tersirat politis nya kuat banget, itu karena udah di roasting jadi pasang mimik wajah ceria terus karena konten Pandji dah jadi konsumsi publik takut nya perhatian publik tergerus sedikit demi sedikit jadi itu masalah serius sepele tapi serius kalau didiamkan saja wkwkw hafal pola-pola begini",dari lahir memang begitu mata saya tersirat politis nya kuat banget itu karena udah di roasting jadi pasang mimik wajah ceria terus karena konten pandji dah jadi konsumsi publik takut nya perhatian publik tergerus sedikit demi sedikit jadi itu masalah serius sepele tapi serius kalau didiamkan saja wkwkw hafal polapola begini
Tretan muslim bangsaatt 😂😂 12:57,tretan muslim bangsaatt
Ini A. I bukan?,ini a i bukan
deadwood butuh durasi 1-2 jam,deadwood butuh durasi jam
Ini baru leveling dewa rosting ya❤,ini baru leveling dewa rosting ya
Ultimate!,ultimate
wapres rasa temen tongkrongan cuy 👉😂👈,wapres rasa temen tongkrongan cuy
"Lebih epic lagi kalau nanya permasalahan dia yg lagi rame , jawaban beliau apa jadi jelas, pasif santai GPP iya santai GPP iya santai GPP 99x",lebih epic lagi kalau nanya permasalahan dia yg lagi rame jawaban beliau apa jadi jelas pasif santai gpp iya santai gpp iya santai gpp x
Menurut young kadrun: Pokoknya dia harus marah....harus ngantuk...harus AI ...harus ngeri ...Harus pura2 takut diapa2in biar kesannya gibran otoritas kyk hitler. wkwkwkw Kontol syariah,menurut young kadrun pokoknya dia harus marahharus ngantukharus ai harus ngeri harus pura takut diapain biar kesannya gibran otoritas kyk hitler wkwkwkw kontol syariah
"Yang kiri panggang babi pake kurma, yang tengah anak haram konstitusi, yang kanan pakai sabu di pantat. 

Cocok mereka kumpul.
2045 generasi babi .",yang kiri panggang babi pake kurma yang tengah anak haram konstitusi yang kanan pakai sabu di pantat cocok mereka kumpul generasi babi
"Keren wapres aink, sehat terus Mas Wapres ❤",keren wapres aink sehat terus mas wapres
Tutorial Edo Tensei fufufafa,tutorial edo tensei fufufafa
joee,joee
Itu AI jangan tertipu 😂,itu ai jangan tertipu
Ketambahan bobon kaya gimana ini 😂,ketambahan bobon kaya gimana ini
Bentaran amat,bentaran amat
Halo apakabar 19 JT lapangan pekerjaan??!,halo apakabar jt lapangan pekerjaan
Ini bukan AI kan..,ini bukan ai kan
Kenapa gak di depan orangnya kayak 2 orang ini langsung rosting,kenapa gak di depan orangnya kayak orang ini langsung rosting
TRETAB BGSTTTTT WKWKWKWKWKWKKW,tretab bgsttttt wkwkwkwkwkwkkw
"ITULAH CARA MAS GIBRAN MEMPERMALUKAN PANJI, HAHAHAHA",itulah cara mas gibran mempermalukan panji hahahaha
Ternyata asik juga pria solo yang satu ini,ternyata asik juga pria solo yang satu ini
"Jujur mas Gibran disini terlihat normal, emang gimana circle ya 😅",jujur mas gibran disini terlihat normal emang gimana circle ya
Bagas bi like:🗿,bagas bi like
"Mereka menertawakan mu bukan tertawa bersama mu 
- Squidward Tentakel",mereka menertawakan mu bukan tertawa bersama mu squidward tentakel
Kami cinta Gibran tapi lebih cinta ahy hiya hiya hiya hiyq,kami cinta gibran tapi lebih cinta ahy hiya hiya hiya hiyq
Mantap,mantap
Ketemu Admin😂,ketemu admin
muslim coki anti ngomongin dibelakang aowkowkowkow,muslim coki anti ngomongin dibelakang aowkowkowkow
lagi challenge tahan tawa ya mas ?,lagi challenge tahan tawa ya mas
"Inilah Indonesia, sebenarnya kita semua saudara, walaupun Dunia Politik kita selalu panas-panasan, tetap rukun semua !!!! Indonesia Damai",inilah indonesia sebenarnya kita semua saudara walaupun dunia politik kita selalu panaspanasan tetap rukun semua indonesia damai
ngantuk lu ya cok?,ngantuk lu ya cok
"Kata bang pandji: gila ni 2 orang, gw cape' bikin mens rea sampe di bully, eh ni 2 org ngundang langsung orgnya dan dengan tenang roasting didepan matanya 😂😂😂",kata bang pandji gila ni orang gw cape bikin mens rea sampe di bully eh ni org ngundang langsung orgnya dan dengan tenang roasting didepan matanya
anjay,anjay
Komedi dalan jurang 😭😭,komedi dalan jurang
Coki anjing ngakak🤣,coki anjing ngakak
"""Dia yg terlalu slow, atau kita yg sdh terlalu rusak..!?""

COKI THE BEST..",dia yg terlalu slow atau kita yg sdh terlalu rusak coki the best
Cuk aku yang deg deg an wkwkwk! 😂,cuk aku yang deg deg an wkwkwk
gigi gw sampe kering cok nontonnya,gigi gw sampe kering cok nontonnya
Gk papa membully krn fufufafa lebih parah kalo membully 😂,gk papa membully krn fufufafa lebih parah kalo membully
"Kalau ada ebel enak niiii,harus di apa'in? Ytta 😂😂😂",kalau ada ebel enak niiiiharus di apain ytta
